Dataset,Gameweek,Position,LASSO Regression MAE,Linear Regression MAE,Random Forest MAE,Ridge Regression MAE,XGBoost MAE,XGBoost V2 MAE
training,13,defender,2.00598055,2.046544166,2.029611393,2.010938381,1.9896896,1.8703269
training,13,forward,2.395547163,2.385361328,2.34777422,2.405706884,2.2892354,2.1485598
training,13,goalkeeper,2.277511863,2.222330447,2.182702802,2.266802253,2.2357032,2.1703064
training,13,midfielder,1.688187089,1.693485805,1.741451891,1.683639941,1.6881493,1.5584552
training,14,defender,1.996500408,2.04333238,2.013175491,2.005086655,1.9917892,1.8504205
training,14,forward,2.373541339,2.373829669,2.340992585,2.380036374,2.2841492,2.1433375
training,14,goalkeeper,2.301595944,2.252085338,2.235806937,2.315570581,2.2638745,2.1565306
training,14,midfielder,1.671052448,1.669466178,1.725416568,1.661444311,1.6900396,1.5507858
training,15,defender,1.990695377,2.033186616,2.016131617,1.998005785,1.9846364,1.9929628
training,15,forward,2.381430614,2.366755032,2.346400257,2.379959231,2.2922182,2.2796514
training,15,goalkeeper,2.265923183,2.212432519,2.144447214,2.264535054,2.1797388,2.1580641
training,15,midfielder,1.668083922,1.679757562,1.731480894,1.667542658,1.6917721,1.679926
training,16,defender,1.99603775,2.041533401,2.016370707,2.004768303,1.996892,1.8515563
training,16,forward,2.297906397,2.297667621,2.296598917,2.297953441,2.2333958,2.0967007
training,16,goalkeeper,2.24962902,2.207546988,2.133647323,2.229222702,2.1588337,2.1011908
training,16,midfielder,1.657456744,1.671378927,1.718035089,1.657992635,1.6823999,1.556109
training,17,defender,2.029572861,2.075486505,2.051242008,2.04178872,2.0323226,1.8757024
training,17,forward,2.238936179,2.237488309,2.230340742,2.231621735,2.1776125,2.051201
training,17,goalkeeper,2.2666474,2.263120829,2.184428689,2.279729978,2.21237,2.128181
training,17,midfielder,1.627360429,1.64199972,1.685304207,1.627125583,1.6501901,1.5336112
training,18,defender,2.020547235,2.069287843,2.046672264,2.03212642,2.0268118,1.8699352
training,18,forward,2.215516001,2.222255918,2.225207982,2.214547364,2.1595392,2.022023
training,18,goalkeeper,2.263931625,2.241931936,2.157721701,2.260017653,2.1651406,2.1064796
training,18,midfielder,1.637706351,1.64970201,1.692792869,1.637179881,1.6583121,1.5420272
training,19,defender,2.019930244,2.068078745,2.049886082,2.033164821,2.0220733,2.015243
training,19,forward,2.160852249,2.15869216,2.169121509,2.154090007,2.0965827,2.0854106
training,19,goalkeeper,2.26161784,2.247980035,2.165050014,2.267334412,2.1556568,2.1574807
training,19,midfielder,1.635298691,1.637782196,1.679062949,1.625497318,1.6373928,1.6339372
training,20,defender,2.028026474,2.081237815,2.056007447,2.041328996,2.0230412,2.029368
training,20,forward,2.109135816,2.117256746,2.100385096,2.112281947,2.0400765,2.0682545
training,20,goalkeeper,2.24982322,2.249063555,2.149414781,2.266462025,2.1508992,2.1447573
training,20,midfielder,1.643188053,1.64172504,1.673828089,1.630760886,1.6393423,1.6594698
training,21,defender,2.018482866,2.070333202,2.046859089,2.034489728,2.0175028,1.8871877
training,21,forward,2.067403077,2.075852451,2.08573126,2.061949979,2.0188155,1.878564
training,21,goalkeeper,2.194498754,2.21303855,2.126603619,2.22319806,2.138994,2.1035974
training,21,midfielder,1.65087287,1.642389845,1.67516261,1.633310644,1.6445208,1.5417869
training,22,defender,2.024572204,2.073569638,2.047176841,2.038328827,2.0186274,1.8897319
training,22,forward,2.048600148,2.059757078,2.053872896,2.041201553,1.9887679,1.8579683
training,22,goalkeeper,2.186772815,2.201303337,2.117839444,2.212199711,2.1326878,2.0993567
training,22,midfielder,1.635080561,1.62971441,1.661488037,1.619420823,1.627867,1.5299023
training,23,defender,2.014028716,2.061768446,2.037648251,2.026726757,2.0155256,1.8764251
training,23,forward,2.048743924,2.052935185,2.057352594,2.033504415,1.9890021,1.8558892
training,23,goalkeeper,2.15989601,2.170927666,2.088184772,2.169599779,2.0995617,2.0618641
training,23,midfielder,1.63622728,1.632514689,1.667776874,1.622746912,1.635032,1.5338243
training,24,defender,2.006269378,2.054659277,2.02972811,2.01960261,2.0055466,1.8680366
training,24,forward,2.012840378,2.014866353,2.015424584,1.995575192,1.9611833,1.8308603
training,24,goalkeeper,2.154277672,2.1575103,2.07491214,2.1769068,2.0988977,2.059533
training,24,midfielder,1.633948988,1.632306931,1.667380265,1.62546545,1.6285845,1.5354446
training,25,defender,2.011879684,2.058027613,2.034456027,2.02348425,2.0064154,1.8626769
training,25,forward,2.002581797,2.006680444,2.016033993,1.988652389,1.9523852,1.830233
training,25,goalkeeper,2.14434511,2.140457102,2.077713288,2.174260204,2.089963,2.0215662
